name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,600,3296136,236168,63.31,236168,63.31,998663,63.29,998663,63.29,2615568,63.26,2615568,63.26,820413,63.22,820413,63.22,327495,63.24,327495,63.24,63.25,3296136,63.25
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,1200,4395892,314901,84.42,78733,21.11,1331606,84.4,332943,21.1,3488138,84.36,872570,21.1,1094300,84.32,273887,21.1,436878,84.36,109383,21.12,84.36,1099756,21.1
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,1800,4726386,338487,90.74,23586,6.32,1431459,90.72,99853,6.33,3750365,90.7,262227,6.34,1176763,90.68,82463,6.35,469743,90.71,32865,6.35,90.7,330494,6.34
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,2400,4892135,350311,93.91,11824,3.17,1481476,93.89,50017,3.17,3881812,93.88,131447,3.18,1218142,93.87,41379,3.19,486291,93.9,16548,3.2,93.88,165749,3.18
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,3000,4988462,357060,95.72,6749,1.81,1510309,95.72,28833,1.83,3958346,95.73,76534,1.85,1242424,95.74,24282,1.87,495765,95.73,9474,1.83,95.73,96327,1.85
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,3600,5026094,359751,96.44,2691,0.72,1521693,96.44,11384,0.72,3988202,96.45,29856,0.72,1251803,96.46,9379,0.72,499510,96.46,3745,0.72,96.45,37632,0.72
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,4200,5056222,361929,97.02,2178,0.58,1530893,97.03,9200,0.58,4012100,97.03,23898,0.58,1259261,97.03,7458,0.57,502513,97.04,3003,0.58,97.03,30128,0.58
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,4800,5075267,363296,97.39,1367,0.37,1536671,97.39,5778,0.37,4027213,97.4,15113,0.37,1263996,97.4,4735,0.36,504405,97.4,1892,0.37,97.4,19045,0.37
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,5400,5090182,364366,97.68,1070,0.29,1541192,97.68,4521,0.29,4039048,97.68,11835,0.29,1267707,97.69,3711,0.29,505888,97.69,1483,0.29,97.68,14915,0.29
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,6000,5115211,366160,98.16,1794,0.48,1548778,98.16,7586,0.48,4058909,98.16,19861,0.48,1273935,98.17,6228,0.48,508374,98.17,2486,0.48,98.16,25029,0.48
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,6600,5116121,366225,98.17,65,0.02,1549054,98.18,276,0.02,4059631,98.18,722,0.02,1274161,98.18,226,0.02,508464,98.19,90,0.02,98.18,910,0.02
Bago,MM-02,20573499B19694912925518,MMR,ADM1,hospitals,TIME,7200,5118017,366362,98.21,137,0.04,1549632,98.21,578,0.04,4061135,98.22,1504,0.04,1274631,98.22,470,0.04,508653,98.22,189,0.04,98.22,1896,0.04
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,600,220645,21468,69.48,21468,69.48,81227,69.47,81227,69.47,183054,69.47,183054,69.47,52824,69.47,52824,69.47,13956,69.45,13956,69.45,69.47,220645,69.47
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,1200,289259,28137,91.06,6669,21.58,106473,91.06,25246,21.59,239972,91.07,56918,21.6,69251,91.07,16427,21.6,18302,91.08,4346,21.63,91.07,68614,21.6
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,1800,303157,29490,95.44,1353,4.38,111592,95.44,5119,4.38,251503,95.44,11531,4.38,72579,95.44,3328,4.38,19180,95.45,878,4.37,95.44,13898,4.38
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,2400,306320,29799,96.44,309,1.0,112757,96.44,1165,1.0,254128,96.44,2625,1.0,73336,96.44,757,1.0,19379,96.44,199,0.99,96.44,3163,1.0
Kayah,MM-12,20573499B20332088310808,MMR,ADM1,hospitals,TIME,3000,307299,29894,96.75,95,0.31,113118,96.75,361,0.31,254940,96.75,812,0.31,73570,96.75,234,0.31,19441,96.75,62,0.31,96.75,979,0.31
